brand,shops,states,cities,shop_types,spellings_seen,carried_by,assessed,verdict,notes
Les Tien,1,PA,Pittsburgh,Multigender 1,Les Tien,Moda,no,,
Liberty Mountain,1,PA,Wayne,Multigender 1,Liberty Mountain,Out There Outfitters,no,,
Lilly Pulitzer,1,PA,Allentown,Multigender 1,Lilly Pulitzer,assembly88,no,,
Linda Richards,1,PA,State College,Multigender 1,Linda Richards,Harpers,no,,
Lisa Todd,1,PA,Pittsburgh,Multigender 1,Lisa Todd,Larrimor's,no,,
Lite Year,1,NJ,Somerville,Multigender 1,Lite Year,Evolve Clothing Gallery,no,,
Liverpool,1,PA,Phoenixville,In scope 1,Liverpool,Weitzenkorn's,no,,
Liverpool Los Angeles,1,PA,Johnstown,In scope 1,Liverpool Los Angeles,Millers of Johnstown,no,,
Locale,1,PA,State College,Multigender 1,Locale,Harpers,no,,
LogoFit,1,PA,State College,Multigender 1,LogoFit,Harpers,no,,
Long Wharf,1,NJ,Far Hills,In scope 1,Long Wharf,Hans Clothier,no,,
Love Token,1,PA,State College,Multigender 1,Love Token,Harpers,no,,
Luchiano Visconti,1,PA,Pittsburgh,In scope 1,Luchiano Visconti,Heinz Healey's,no,,
Lucy Paris,1,PA,State College,Multigender 1,Lucy Paris,Harpers,no,,
Luigi Bianchi,1,PA,Wayne,In scope 1,LUIGI BIANCHI,Boyds,no,,
Luigi Borrelli,1,PA,Wayne,In scope 1,LUIGI BORRELLI,Boyds,no,,
Lyssé,1,PA,State College,Multigender 1,Lyssé,Harpers,no,,
M. Singer,1,PA,Phoenixville,In scope 1,M. Singer,Weitzenkorn's,no,,
MSR,1,PA,Philadelphia,Multigender 1,MSR,Totem Brand Co.,no,,
MZ Wallace,1,PA,Pittsburgh,Multigender 1,MZ Wallace,Larrimor's,no,,
Mac Jeans,1,PA,State College,Multigender 1,Mac Jeans,Harpers,no,,
Mackie,1,PA,Pittsburgh,In scope 1,Mackie,Vestis,no,,
Magnolia Lane,1,PA,State College,Multigender 1,Magnolia Lane,Harpers,no,,
Maison MIHARA YASUHIRO,1,PA,Philadelphia,Multigender 1,Maison MIHARA YASUHIRO,Totem Brand Co.,no,,
Majestic,1,PA,Ligonier,In scope 1,Majestic,Post & Rail Men's Shop,no,,
Mandelli,1,PA,Wayne,In scope 1,MANDELLI,Boyds,no,,
Manto,1,PA,Wayne,In scope 1,MANTO,Boyds,no,,
Marc Cain,1,PA,State College,Multigender 1,Marc Cain,Harpers,no,,
Marcello,1,PA,Pittsburgh,In scope 1,Marcello,Heinz Healey's,no,,
Marchesi di Como,1,PA,State College,Multigender 1,Marchesi di Como,Harpers,no,,
Marco Pescarolo,1,PA,Wayne,In scope 1,MARCO PESCAROLO,Boyds,no,,
Marcoliani,1,PA,Wayne,In scope 1,MARCOLIANI,Boyds,no,,
Margo Morrison,1,PA,Pittsburgh,Multigender 1,Margo Morrison,Larrimor's,no,,
Marine Serre,1,PA,Pittsburgh,Multigender 1,Marine Serre,TONS,no,,
Marlyn Schiff,1,PA,Allentown,Multigender 1,Marlyn Schiff,assembly88,no,,
Marmot,1,PA,Kennett Square,Multigender 1,Marmot,Trail Creek Outfitters,no,,
