brand,tee_low,tee_low_product,tee_low_url,tee_high,tee_high_product,tee_high_url,tee_basis,polo_low,polo_low_product,polo_low_url,polo_high,polo_high_product,polo_high_url,polo_basis,dress_shirt_low,dress_shirt_low_product,dress_shirt_low_url,dress_shirt_high,dress_shirt_high_product,dress_shirt_high_url,dress_shirt_basis,jeans_low,jeans_low_product,jeans_low_url,jeans_high,jeans_high_product,jeans_high_url,jeans_basis,dress_pants_low,dress_pants_low_product,dress_pants_low_url,dress_pants_high,dress_pants_high_product,dress_pants_high_url,dress_pants_basis,sweater_low,sweater_low_product,sweater_low_url,sweater_high,sweater_high_product,sweater_high_url,sweater_basis,outerwear_low,outerwear_low_product,outerwear_low_url,outerwear_high,outerwear_high_product,outerwear_high_url,outerwear_basis,shoes_low,shoes_low_product,shoes_low_url,shoes_high,shoes_high_product,shoes_high_url,shoes_basis,store_used,currency,search_url,sublines_included,status,read_date,source,note
Buck Mason,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,buckmason.com,NC,https://www.buckmason.com/search?q=,NC,NC,NC,NC,NC
Duck Head,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,www.duckhead.com,NC,https://www.duckhead.com/search?q=,NC,NC,NC,NC,NC
Wythe,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,wythe.com,NC,https://www.wythe.com/search?q=,NC,NC,NC,NC,NC
AYR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,ayr.com,NC,https://www.ayr.com/search?q=,NC,NC,NC,NC,NC
Alex Mill,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,alexmill.com,NC,https://www.alexmill.com/search?q=,NC,NC,NC,NC,NC
Robert Barakett,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,robertbarakett.com,NC,https://robertbarakett.com/search?q=,NC,NC,NC,NC,NC
Easy Mondays,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,easymondays.ca,NC,https://easymondays.ca/search?q=,NC,NC,NC,NC,NC
Indochino,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,indochino.com,NC,NC,NC,NC,NC,NC,NC
Proper Cloth,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,propercloth.com,NC,https://propercloth.com/search?q=,NC,NC,NC,NC,NC
Tecovas,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,tecovas.com,NC,https://www.tecovas.com/search?q=,NC,NC,NC,NC,NC
